"RRA","species","prey"
9.735428949906201e-4,"Lithobates catesbeianus","Dermaptera"
0.0690713700772032,"Lithobates catesbeianus","Diptera"
0.0066834836549229375,"Lithobates catesbeianus","Entomobryomorpha"
0.0012059816690786305,"Lithobates catesbeianus","Ephemeroptera"
0.13517882473246134,"Lithobates catesbeianus","Hemiptera"
0.18323033751105636,"Lithobates catesbeianus","Hymenoptera"
0.35481188927144464,"Lithobates catesbeianus","Isopoda"
0.048738389358428405,"Lithobates catesbeianus","Lepidoptera"
9.809339596573636e-4,"Lithobates catesbeianus","Mesostigmata"
0.005535481163744872,"Lithobates catesbeianus","Odonata"
0.009128947612388189,"Lithobates catesbeianus","Orthoptera"
0.018598126460837947,"Lithobates catesbeianus","Podocopida"
0.07265308182341777,"Lithobates catesbeianus","Polydesmida"
0.010316676314275151,"Lithobates catesbeianus","Sarcoptiformes"
0.0025656814449917893,"Lithobates catesbeianus","Scolopendromorpha"
0.02185374149659864,"Lithobates catesbeianus","Thysanoptera"
0.00566466664218166,"Lithobates catesbeianus","Trichoptera"
0.013657153062348465,"Lithobates catesbeianus","Trombidiformes"
0.020602443876101165,"Hylarana latouchii","Araneae"
0.1446312714344893,"Hylarana latouchii","Coleoptera"
0.01778455284552845,"Hylarana latouchii","Diptera"
0.014227642276422765,"Hylarana latouchii","Hemiptera"
0.36058969517645934,"Hylarana latouchii","Hymenoptera"
0.38807413533969504,"Hylarana latouchii","Isopoda"
0.016481955100880935,"Hylarana latouchii","Lepidoptera"
0.037608303950423014,"Hylarana latouchii","Polydesmida"
0.28355887712267164,"Polypedates megacephalus","Hemiptera"
0.6031797196807198,"Polypedates megacephalus","Isopoda"
0.11111111111111112,"Polypedates megacephalus","Lepidoptera"
0.002150292085497407,"Polypedates megacephalus","Thysanoptera"
0.5853887042292996,"Hyla chinensis","Hemiptera"
0.1970098644907647,"Hyla chinensis","Hymenoptera"
0.0799875561368826,"Hyla chinensis","Isopoda"
0.1376138751430531,"Hyla chinensis","Lepidoptera"
